generation,best_length
1,2035.434983
2,2035.434983
3,2035.434983
4,2035.434983
5,2035.434983
6,2035.434983
7,2035.434983
8,2035.434983
9,2035.434983
10,2035.434983
11,2035.434983
12,2035.434983
13,2035.434983
14,2035.434983
15,2035.434983
16,2035.434983
17,2035.434983
18,2035.434983
19,2035.434983
20,2035.434983
21,2035.434983
22,2035.434983
23,2035.434983
24,2035.434983
25,2035.434983
26,2035.434983
27,2035.434983
28,2035.434983
29,2035.434983
30,2035.434983
31,2035.434983
32,2035.434983
33,2035.434983
34,2035.434983
35,2035.434983
36,2035.434983
37,2035.434983
38,2035.434983
39,2035.434983
40,2035.434983
41,2035.434983
42,2035.434983
43,2035.434983
44,2035.434983
45,2035.434983
46,2035.434983
47,2035.434983
48,2035.434983
49,2035.434983
50,2035.434983
51,2035.434983
52,2035.434983
53,2035.434983
54,2035.434983
55,2035.434983
56,2035.434983
57,2035.434983
58,2035.434983
59,2035.434983
60,2035.434983
61,2035.434983
62,2035.434983
63,2035.434983
64,2035.434983
65,2035.434983
66,2035.434983
67,2035.434983
68,2035.434983
69,2035.434983
70,2035.434983
71,2035.434983
72,2035.434983
73,2035.434983
74,2035.434983
75,2035.434983
76,2035.434983
77,2035.434983
78,2035.434983
79,2035.434983
80,2035.434983
81,2035.434983
82,2035.434983
83,2035.434983
84,2035.434983
85,2035.434983
86,2035.434983
87,2035.434983
88,2035.434983
89,2035.434983
90,2035.434983
91,2035.434983
92,2035.434983
93,2035.434983
94,2035.434983
95,2035.434983
96,2035.434983
97,2035.434983
98,2035.434983
99,2035.434983
100,2035.434983
101,2035.434983
102,2035.434983
103,2035.434983
104,2035.434983
105,2035.434983
106,2035.434983
107,2035.434983
108,2035.434983
109,2035.434983
110,2035.434983
111,2035.434983
112,2035.434983
113,2035.434983
114,2035.434983
115,2035.434983
116,2035.434983
117,2035.434983
118,2035.434983
119,2035.434983
120,2035.434983
121,2035.434983
122,2035.434983
123,2035.434983
124,2035.434983
125,2035.434983
126,2035.434983
127,2035.434983
128,2035.434983
129,2035.434983
130,2035.434983
131,2035.434983
132,2035.434983
133,2035.434983
134,2035.434983
135,2035.434983
136,2035.434983
137,2035.434983
138,2035.434983
139,2035.434983
140,2035.434983
141,2035.434983
142,2035.434983
143,2035.434983
144,2035.434983
145,2035.434983
146,2035.434983
147,2035.434983
148,2035.434983
149,2035.434983
150,2035.434983
151,2035.434983
152,2035.434983
153,2035.434983
154,2035.434983
155,2035.434983
156,2035.434983
157,2035.434983
158,2035.434983
159,2035.434983
160,2035.434983
161,2035.434983
162,2035.434983
163,2035.434983
164,2035.434983
165,2035.434983
166,2035.434983
167,2035.434983
168,2035.434983
169,2035.434983
170,2035.434983
171,2035.434983
