generation,best_length
1,3395.105875
2,3112.792957
3,2801.543859
4,2801.543859
5,2801.543859
6,2801.543859
7,2801.543859
8,2801.543859
9,2801.543859
10,2801.543859
11,2801.543859
12,2801.543859
13,2801.543859
14,2801.543859
15,2801.543859
16,2801.543859
17,2801.543859
18,2801.543859
19,2801.543859
20,2801.543859
21,2801.543859
22,2801.543859
23,2801.543859
24,2801.543859
25,2801.543859
26,2801.543859
27,2801.543859
28,2801.543859
29,2801.543859
30,2801.543859
31,2801.543859
32,2801.543859
33,2801.543859
34,2801.543859
35,2801.543859
36,2801.543859
37,2801.543859
38,2801.543859
39,2801.543859
40,2801.543859
41,2801.543859
42,2801.543859
43,2801.543859
44,2801.543859
45,2801.543859
46,2801.543859
47,2801.543859
48,2801.543859
49,2801.543859
50,2801.543859
51,2801.543859
52,2801.543859
53,2801.543859
54,2801.543859
55,2801.543859
56,2801.543859
57,2801.543859
58,2801.543859
59,2801.543859
60,2801.543859
61,2801.543859
62,2801.543859
63,2801.543859
64,2801.543859
65,2801.543859
66,2801.543859
67,2801.543859
68,2801.543859
69,2801.543859
70,2801.543859
71,2801.543859
72,2801.543859
73,2801.543859
74,2801.543859
75,2801.543859
76,2801.543859
77,2801.543859
78,2801.543859
79,2801.543859
80,2801.543859
81,2801.543859
82,2801.543859
83,2801.543859
84,2801.543859
85,2801.543859
86,2801.543859
87,2801.543859
88,2801.543859
89,2801.543859
90,2801.543859
91,2801.543859
92,2801.543859
93,2801.543859
94,2801.543859
95,2801.543859
96,2801.543859
97,2801.543859
98,2801.543859
99,2801.543859
100,2801.543859
101,2801.543859
102,2801.543859
103,2801.543859
104,2801.543859
105,2801.543859
106,2801.543859
107,2801.543859
108,2801.543859
109,2801.543859
110,2801.543859
111,2801.543859
112,2801.543859
113,2801.543859
114,2801.543859
115,2801.543859
116,2801.543859
117,2801.543859
118,2801.543859
119,2801.543859
120,2801.543859
121,2801.543859
122,2801.543859
123,2801.543859
124,2801.543859
125,2801.543859
126,2801.543859
127,2801.543859
128,2801.543859
129,2801.543859
130,2801.543859
131,2801.543859
132,2801.543859
133,2801.543859
134,2801.543859
